date,cash,regime,note,BTCUSDT_qty,BTCUSDT_equity,ETHUSDT_qty,ETHUSDT_equity,XRPUSDT_qty,XRPUSDT_equity,SOLUSDT_qty,SOLUSDT_equity,ADAUSDT_qty,ADAUSDT_equity,DOGEUSDT_qty,DOGEUSDT_equity,HBARUSDT_qty,HBARUSDT_equity,TRXUSDT_qty,TRXUSDT_equity,LINKUSDT_qty,LINKUSDT_equity,XLMUSDT_qty,XLMUSDT_equity,VIRTUALUSDT_qty,VIRTUALUSDT_equity,SUIUSDT_qty,SUIUSDT_equity,HUMAUSDT_qty,HUMAUSDT_equity,PEPEUSDT_qty,PEPEUSDT_equity,portfolio_equity,btc_drawdown,buy_frozen,holdings_str
7/5/2025,2469.874394,,,0.018684237,2021.599321,0,0,1091.973269,2421.778317,0,0,0,0,0,0,0,0,35697.68916,10109.58557,0,0,0,0,0,0,0,0,0,0,0,0,17022.8376,0.020767741,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
7/6/2025,0,,,0,0,0,0,1091.973269,2479.762098,0,0,0,0,0,0,0,0,51511.48379,14783.79585,0,0,0,0,0,0,0,0,0,0,0,0,17263.55794,0.018828216,FALSE,"XRPUSDT, TRXUSDT"
7/7/2025,8196.701493,,,0.029340294,3176.466474,0,0,652.0517756,1480.679172,0,0,0,0,0,0,0,0,15166.46729,4348.226173,0,0,0,0,0,0,0,0,0,0,0,0,17202.07331,0.009708056,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
7/8/2025,9956.614899,,,0.020576955,2241.303243,0,0,1046.149995,2417.443409,0,0,0,0,0,0,0,0,9190.884262,2641.460137,0,0,0,0,0,0,0,0,0,0,0,0,17256.82169,0.018240409,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
7/9/2025,9976.246136,,,0.001400231,155.7532798,0,0,2005.117568,4819.901609,0,0,0,0,0,0,0,0,8648.953776,2507.3317,0,0,0,0,0,0,0,0,0,0,0,0,17459.23273,0.012254976,FALSE,"BTCUSDT, XRPUSDT, TRXUSDT"
7/10/2025,0,,,0.004314311,500.5032586,1.167692983,3446.200624,1485.773578,3784.41388,0,0,0,0,0,0,0,0,3346.871806,983.6456237,0,0,31819.21871,9641.223268,0,0,0,0,0,0,0,0,18355.98665,0,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, TRXUSDT, XLMUSDT"
7/11/2025,0,,,0.004314311,507.0509164,0.975189079,2884.823838,1154.095203,3153.218914,0,0,4170.428317,2958.501848,0,0,17559.44549,3401.088997,3346.871806,1007.073726,0,0,15412.41079,5553.091606,0,0,0,0,0,0,16012854.68,197.9188838,19662.76873,0,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, HBARUSDT, TRXUSDT, XLMUSDT, PEPEUSDT"
7/12/2025,0,,,0.004314311,506.5864376,0.931652975,2742.115568,1154.095203,3161.643809,0,0,4170.428317,2956.416634,1260.076219,248.7642471,16911.30008,3337.445071,3346.871806,1011.42466,0,0,15412.41079,6055.536198,0,0,0,0,0,0,16012854.68,195.9973413,20215.92997,0,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, PEPEUSDT"
7/13/2025,0,,,0.004972054,592.1052562,0.905307599,2690.601343,1154.095203,3273.129406,0,0,4170.428317,3072.354541,1260.076219,250.1881332,16911.30008,4081.373162,3346.871806,1013.432783,0,0,15412.41079,7253.080516,0,0,0,0,0,0,16012854.68,196.9581125,22423.22325,0.00091604,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, PEPEUSDT"
7/14/2025,0,,,0.005645839,676.6039733,0.878201417,2646.565356,1154.095203,3414.04443,0,0,4170.428317,3066.098898,1260.076219,248.8524524,16911.30008,4006.117877,3346.871806,1012.428721,0,0,15412.41079,7145.193641,0,0,0,0,0,0,16012854.68,195.8372127,22411.74256,0,FALSE,"BTCUSDT, ETHUSDT, XRPUSDT, ADAUSDT, DOGEUSDT, HBARUSDT, TRXUSDT, XLMUSDT, PEPEUSDT"
